file_name,Te,logg
koester2_da05000_650.dk.phot.dat,5000,6.5
koester2_da05000_675.dk.phot.dat,5000,6.75
koester2_da05000_700.dk.phot.dat,5000,7.0
koester2_da05000_725.dk.phot.dat,5000,7.25
koester2_da05000_750.dk.phot.dat,5000,7.5
koester2_da05000_775.dk.phot.dat,5000,7.75
koester2_da05000_800.dk.phot.dat,5000,8.0
koester2_da05000_825.dk.phot.dat,5000,8.25
koester2_da05000_850.dk.phot.dat,5000,8.5
koester2_da05000_875.dk.phot.dat,5000,8.75
koester2_da05000_900.dk.phot.dat,5000,9.0
koester2_da05000_925.dk.phot.dat,5000,9.25
koester2_da05000_950.dk.phot.dat,5000,9.5
koester2_da05250_650.dk.phot.dat,5250,6.5
koester2_da05250_675.dk.phot.dat,5250,6.75
koester2_da05250_700.dk.phot.dat,5250,7.0
koester2_da05250_725.dk.phot.dat,5250,7.25
koester2_da05250_750.dk.phot.dat,5250,7.5
koester2_da05250_775.dk.phot.dat,5250,7.75
koester2_da05250_800.dk.phot.dat,5250,8.0
koester2_da05250_825.dk.phot.dat,5250,8.25
koester2_da05250_850.dk.phot.dat,5250,8.5
koester2_da05250_875.dk.phot.dat,5250,8.75
koester2_da05250_900.dk.phot.dat,5250,9.0
koester2_da05250_925.dk.phot.dat,5250,9.25
koester2_da05250_950.dk.phot.dat,5250,9.5
koester2_da05500_650.dk.phot.dat,5500,6.5
koester2_da05500_675.dk.phot.dat,5500,6.75
koester2_da05500_700.dk.phot.dat,5500,7.0
koester2_da05500_725.dk.phot.dat,5500,7.25
koester2_da05500_750.dk.phot.dat,5500,7.5
koester2_da05500_775.dk.phot.dat,5500,7.75
koester2_da05500_800.dk.phot.dat,5500,8.0
koester2_da05500_825.dk.phot.dat,5500,8.25
koester2_da05500_850.dk.phot.dat,5500,8.5
koester2_da05500_875.dk.phot.dat,5500,8.75
koester2_da05500_900.dk.phot.dat,5500,9.0
koester2_da05500_925.dk.phot.dat,5500,9.25
koester2_da05500_950.dk.phot.dat,5500,9.5
koester2_da05750_650.dk.phot.dat,5750,6.5
koester2_da05750_675.dk.phot.dat,5750,6.75
koester2_da05750_700.dk.phot.dat,5750,7.0
koester2_da05750_725.dk.phot.dat,5750,7.25
koester2_da05750_750.dk.phot.dat,5750,7.5
koester2_da05750_775.dk.phot.dat,5750,7.75
koester2_da05750_800.dk.phot.dat,5750,8.0
koester2_da05750_825.dk.phot.dat,5750,8.25
koester2_da05750_850.dk.phot.dat,5750,8.5
koester2_da05750_875.dk.phot.dat,5750,8.75
koester2_da05750_900.dk.phot.dat,5750,9.0
koester2_da05750_925.dk.phot.dat,5750,9.25
koester2_da05750_950.dk.phot.dat,5750,9.5
koester2_da06000_650.dk.phot.dat,6000,6.5
koester2_da06000_675.dk.phot.dat,6000,6.75
koester2_da06000_700.dk.phot.dat,6000,7.0
koester2_da06000_725.dk.phot.dat,6000,7.25
koester2_da06000_750.dk.phot.dat,6000,7.5
koester2_da06000_775.dk.phot.dat,6000,7.75
koester2_da06000_800.dk.phot.dat,6000,8.0
koester2_da06000_825.dk.phot.dat,6000,8.25
koester2_da06000_850.dk.phot.dat,6000,8.5
koester2_da06000_875.dk.phot.dat,6000,8.75
koester2_da06000_900.dk.phot.dat,6000,9.0
koester2_da06000_925.dk.phot.dat,6000,9.25
koester2_da06000_950.dk.phot.dat,6000,9.5
koester2_da06250_650.dk.phot.dat,6250,6.5
koester2_da06250_675.dk.phot.dat,6250,6.75
koester2_da06250_700.dk.phot.dat,6250,7.0
