file_name,Te,logg,MH,alpha
Kurucz2003all_fm25t3500g00k2odfnew.fl.phot.dat,3500,0.0,-2.5,0.0
Kurucz2003all_fm20t3500g00k2odfnew.fl.phot.dat,3500,0.0,-2.0,0.0
Kurucz2003all_fm15t3500g00k2odfnew.fl.phot.dat,3500,0.0,-1.5,0.0
Kurucz2003all_fm10t3500g00k2odfnew.fl.phot.dat,3500,0.0,-1.0,0.0
Kurucz2003all_fm05t3500g00k2odfnew.fl.phot.dat,3500,0.0,-0.5,0.0
Kurucz2003all_fp00t3500g00k2odfnew.fl.phot.dat,3500,0.0,0.0,0.0
Kurucz2003all_fp02t3500g00k2odfnew.fl.phot.dat,3500,0.0,0.2,0.0
Kurucz2003all_fp05t3500g00k2odfnew.fl.phot.dat,3500,0.0,0.5,0.0
Kurucz2003all_fm25t3500g05k2odfnew.fl.phot.dat,3500,0.5,-2.5,0.0
Kurucz2003all_fm20t3500g05k2odfnew.fl.phot.dat,3500,0.5,-2.0,0.0
Kurucz2003all_fm15t3500g05k2odfnew.fl.phot.dat,3500,0.5,-1.5,0.0
Kurucz2003all_fm10t3500g05k2odfnew.fl.phot.dat,3500,0.5,-1.0,0.0
Kurucz2003all_fm05t3500g05k2odfnew.fl.phot.dat,3500,0.5,-0.5,0.0
Kurucz2003all_fp00t3500g05k2odfnew.fl.phot.dat,3500,0.5,0.0,0.0
Kurucz2003all_fp02t3500g05k2odfnew.fl.phot.dat,3500,0.5,0.2,0.0
Kurucz2003all_fp05t3500g05k2odfnew.fl.phot.dat,3500,0.5,0.5,0.0
Kurucz2003all_fm25t3500g10k2odfnew.fl.phot.dat,3500,1.0,-2.5,0.0
Kurucz2003all_fm20t3500g10k2odfnew.fl.phot.dat,3500,1.0,-2.0,0.0
Kurucz2003all_fm15t3500g10k2odfnew.fl.phot.dat,3500,1.0,-1.5,0.0
Kurucz2003all_fm10t3500g10k2odfnew.fl.phot.dat,3500,1.0,-1.0,0.0
Kurucz2003all_fm05t3500g10k2odfnew.fl.phot.dat,3500,1.0,-0.5,0.0
Kurucz2003all_fp00t3500g10k2odfnew.fl.phot.dat,3500,1.0,0.0,0.0
Kurucz2003all_fp02t3500g10k2odfnew.fl.phot.dat,3500,1.0,0.2,0.0
Kurucz2003all_fp05t3500g10k2odfnew.fl.phot.dat,3500,1.0,0.5,0.0
Kurucz2003all_fm25t3500g15k2odfnew.fl.phot.dat,3500,1.5,-2.5,0.0
Kurucz2003all_fm20t3500g15k2odfnew.fl.phot.dat,3500,1.5,-2.0,0.0
Kurucz2003all_fm15t3500g15k2odfnew.fl.phot.dat,3500,1.5,-1.5,0.0
Kurucz2003all_fm10t3500g15k2odfnew.fl.phot.dat,3500,1.5,-1.0,0.0
Kurucz2003all_fm05t3500g15k2odfnew.fl.phot.dat,3500,1.5,-0.5,0.0
Kurucz2003all_fp00t3500g15k2odfnew.fl.phot.dat,3500,1.5,0.0,0.0
Kurucz2003all_fp02t3500g15k2odfnew.fl.phot.dat,3500,1.5,0.2,0.0
Kurucz2003all_fp05t3500g15k2odfnew.fl.phot.dat,3500,1.5,0.5,0.0
Kurucz2003all_fm25t3500g20k2odfnew.fl.phot.dat,3500,2.0,-2.5,0.0
Kurucz2003all_fm20t3500g20k2odfnew.fl.phot.dat,3500,2.0,-2.0,0.0
Kurucz2003all_fm15t3500g20k2odfnew.fl.phot.dat,3500,2.0,-1.5,0.0
Kurucz2003all_fm10t3500g20k2odfnew.fl.phot.dat,3500,2.0,-1.0,0.0
Kurucz2003all_fm05t3500g20k2odfnew.fl.phot.dat,3500,2.0,-0.5,0.0
Kurucz2003all_fp00t3500g20k2odfnew.fl.phot.dat,3500,2.0,0.0,0.0
Kurucz2003all_fp02t3500g20k2odfnew.fl.phot.dat,3500,2.0,0.2,0.0
Kurucz2003all_fp05t3500g20k2odfnew.fl.phot.dat,3500,2.0,0.5,0.0
Kurucz2003all_fm25t3500g25k2odfnew.fl.phot.dat,3500,2.5,-2.5,0.0
Kurucz2003all_fm20t3500g25k2odfnew.fl.phot.dat,3500,2.5,-2.0,0.0
Kurucz2003all_fm15t3500g25k2odfnew.fl.phot.dat,3500,2.5,-1.5,0.0
Kurucz2003all_fm10t3500g25k2odfnew.fl.phot.dat,3500,2.5,-1.0,0.0
Kurucz2003all_fm05t3500g25k2odfnew.fl.phot.dat,3500,2.5,-0.5,0.0
Kurucz2003all_fp00t3500g25k2odfnew.fl.phot.dat,3500,2.5,0.0,0.0
Kurucz2003all_fp02t3500g25k2odfnew.fl.phot.dat,3500,2.5,0.2,0.0
Kurucz2003all_fp05t3500g25k2odfnew.fl.phot.dat,3500,2.5,0.5,0.0
Kurucz2003all_fm25t3500g30k2odfnew.fl.phot.dat,3500,3.0,-2.5,0.0
Kurucz2003all_fm20t3500g30k2odfnew.fl.phot.dat,3500,3.0,-2.0,0.0
Kurucz2003all_fm15t3500g30k2odfnew.fl.phot.dat,3500,3.0,-1.5,0.0
Kurucz2003all_fm10t3500g30k2odfnew.fl.phot.dat,3500,3.0,-1.0,0.0
Kurucz2003all_fm05t3500g30k2odfnew.fl.phot.dat,3500,3.0,-0.5,0.0
