Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,logR
0.00015547,-2.0,6.25,8.0,2.6231517792,8.001,3.521,4.4657,4.635,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001773,-4.034,-1.174,-1.322,-0.899,0.35310594885633606
0.00015547,-2.0,6.25,9.0,2.6246831417,8.995,3.68,4.488,4.616,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.000164,-4.431,-1.462,-1.613,-1.181,0.3880343974923519
0.00015547,-2.0,6.25,10.0,2.6258678436,9.998,3.82,4.5075,4.599,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001646,-4.781,-1.71,-1.866,-1.419,0.41949037985985227
0.00015547,-2.0,6.25,10.2013492584,2.6260743141,10.2,3.846,4.5111,4.596,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-4.846,-1.757,-1.914,-1.463,0.42533389953252543
0.00015547,-2.0,6.25,11.0,2.6268081665,11.001,3.945,4.5248,4.585,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-5.094,-1.935,-2.095,-1.63,0.44724989599169934
0.00015547,-2.0,6.25,11.0995492935,2.6268911362,11.101,3.957,4.5264,4.584,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-5.123,-1.955,-2.116,-1.649,0.4497148649782408
0.00015547,-2.0,6.25,12.0,2.6275708675,12.001,4.058,4.5401,4.572,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-5.375,-2.129,-2.294,-1.811,0.4726425315248501
0.00015547,-2.0,6.25,13.4503707886,2.6284484863,13.444,4.203,4.5598,4.554,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-7.9e-16,0.0,0.7507,0.2491,2.933e-05,7.937e-06,7.201e-05,-1.0,0.0001636,-5.738,-2.385,-2.552,-2.065,0.5062980655502866
0.00015547,-2.0,6.25,13.9999990463,2.6287269592,13.992,4.255,4.5667,4.548,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.35e-10,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-5.866,-2.478,-2.644,-2.162,0.5179737118868768
0.00015547,-2.0,6.25,16.0,2.6295573711,16.001,4.421,4.5887,4.528,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.77e-10,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-6.284,-2.761,-2.925,-2.453,0.5571073762579908
0.00015547,-2.0,6.25,17.2266864777,2.6299586296,17.219,4.512,4.6005,4.516,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.07e-10,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-6.51,-2.909,-3.072,-2.602,0.5790377766676271
0.00015547,-2.0,6.25,18.0,2.6301794052,17.988,4.566,4.6075,4.509,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.11e-10,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-6.645,-2.992,-3.156,-2.685,0.5920252530995187
0.00015547,-2.0,6.25,18.9238433838,2.6304161549,18.915,4.626,4.6151,4.502,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.57e-10,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-6.794,-3.086,-3.249,-2.778,0.6064369864659482
0.00015547,-2.0,6.25,20.0,2.6306605339,19.995,4.692,4.6235,4.493,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-8.7e-10,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001637,-6.96,-3.19,-3.353,-2.882,0.6229945178863368
0.00015547,-2.0,6.25,22.7306442261,2.6311628819,22.729,4.841,4.6419,4.473,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.57e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-7.332,-3.431,-3.595,-3.124,0.6608239779716959
0.00015547,-2.0,6.25,24.0,2.6313521862,23.998,4.904,4.6496,4.465,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.02e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-7.49,-3.535,-3.699,-3.229,0.6766213381499318
0.00015547,-2.0,6.25,26.7661075592,2.6316940784,26.749,5.026,4.6639,4.447,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.19e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-7.794,-3.721,-3.89,-3.398,0.7091875890245875
0.00015547,-2.0,6.25,28.0,2.6318216324,27.979,5.076,4.6698,4.44,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.86e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001637,-7.92,-3.799,-3.969,-3.469,0.7224499077887474
0.00015547,-2.0,6.25,28.1695785522,2.6318383217,28.148,5.083,4.6705,4.439,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.95e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001637,-7.937,-3.809,-3.98,-3.479,0.7242575848292455
